name,Anita,Carlos,Chico,Junon,Kato,Manuel,Penelope,Popeye,Reuben,Rosa,Sol
Anita,1,0,0.092857143,0.021428571,0.007142857,0.051,0.31,0.114285714,0.11,0.228571429,0.164285714
Carlos,0,1,0.028571429,0,0,0.021428571,0,0.007142857,0.014285714,0.007142857,0
Chico,0.092857143,0.028571429,1,0.042857143,0.021428571,0.042857143,0.051,0.028571429,0.171428571,0.121428571,0.107142857
Junon,0.021428571,0,0.042857143,1,0,0,0,0.064285714,0.107142857,0.035714286,0.028571429
Kato,0.007142857,0,0.021428571,0,1,0,0,0,0.007142857,0.007142857,0
Manuel,0.051,0.021428571,0.042857143,0,0,1,0.021428571,0.007142857,0.021428571,0.051,0.028571429
Penelope,0.31,0,0.051,0,0,0.021428571,1,0.178571429,0.092857143,0.178571429,0.214285714
Popeye,0.114285714,0.007142857,0.028571429,0.064285714,0,0.007142857,0.178571429,1,0.11,0.092857143,0.071428571
Reuben,0.11,0.014285714,0.171428571,0.107142857,0.007142857,0.021428571,0.092857143,0.11,11,0.178571429,0.214285714
Rosa,0.22857143,0.007142858,0.121428572,0.035714287,0.007142858,0.059,0.17857143,0.092857144,0.17857143,1,0.214285715
Sol,0.164285715,0,0.107142858,0.02857143,0,0.02857143,0.214285715,0.071428572,0.214285715,0.214285715,1
