names,Oxyrhopus_melanogenys_RAB581_,Oxyrhopus_melanogenys_RAB584_,Oxyrhopus_melanogenys_RAB607_,Oxyrhopus_petolarius_RAB667_,Oxyrhopus_petolarius_RAB664_,Oxyrhopus_petolarius_RAB672_,Oxyrhopus_petolarius_RAB697_,Oxyrhopus_melanogenys_RAB936_,Oxyrhopus_melanogenys_RAB1005_,Oxyrhopus_melanogenys_RAB938_,Oxyrhopus_melanogenys_RAB1004_,Oxyrhopus_melanogenys_RAB955_,Oxyrhopus_melanogenys_RAB1233_,Oxyrhopus_melanogenys_RAB1318_,Oxyrhopus_melanogenys_RAB1321_,Oxyrhopus_petolarius_RAB2433_,Oxyrhopus_melanogenys_RAB2538_,Oxyrhopus_melanogenys_RAB2610_,Oxyrhopus_melanogenys_RAB2677_,Oxyrhopus_petolarius_RAB2868_,Oxyrhopus_petolarius_RAB2925_,Oxyrhopus_petolarius_RAB3406_,Oxyrhopus_melanogenys_RAB3409_,Oxyrhopus_melanogenys_RAB3481_,Oxyrhopus_melanogenys_RAB3530_,Oxyrhopus_melanogenys_RAB3555_,Oxyrhopus_melanogenys_RAB3567_,Oxyrhopus_melanogenys_RAB3566_,Oxyrhopus_melanogenys_RAB3576_
Oxyrhopus_melanogenys_RAB581_,1,0.119538489,0.049061168,0.166153589,0,0.248875904,0,0,0,0,0,0,0,0,0,0.194108024,0.107182873,0.119538489,0.205533512,0,0,0.138791777,0,0,0,0,0.119538489,0,0.119470733
Oxyrhopus_melanogenys_RAB584_,0.119538489,1,0.167032914,0.28997437,0,0,0,0,0,0,0,0,0,0,0,0.167774787,0.18352534,0.406978944,0.12550202,0,0,0.097119904,0,0,0,0,0.406978944,0,0
Oxyrhopus_melanogenys_RAB607_,0.049061168,0.167032914,1,0.119011719,0.286850679,0,0.195892279,0.117806382,0.117760799,0.288880205,0.167006414,0,0.236047947,0.236049978,0.236049852,0.068858382,0.075322748,0.167032914,0.199267739,0,0.236049495,0.119683678,0.2313616,0.167006414,0,0.167006414,0.167032914,0.167006414,0
Oxyrhopus_petolarius_RAB667_,0.166153589,0.28997437,0.119011719,1,0,0,0,0,0,0,0,0,0,0,0,0.235711933,0.130762649,0.28997437,0.089420766,0,0,0.069198378,0,0,0,0,0.28997437,0,0
Oxyrhopus_petolarius_RAB664_,0,0,0.286850679,0,1,0,0.278705546,0.167241114,0.167176404,0.274902754,0.238127988,0,0.335840659,0.335840056,0.335840257,0,0,0,0.143349567,0,0.335840586,0.113567573,0.328822417,0.238127988,0,0.238127988,0,0.238127988,0
Oxyrhopus_petolarius_RAB672_,0.248875904,0,0,0,0,1,0.04566751,0,0,0,0,0,0,0,0,0.139031923,0.116416404,0,0.191979252,0,0,0.183435896,0,0,0,0,0,0,0.086925155
Oxyrhopus_petolarius_RAB697_,0,0,0.195892279,0,0.278705546,0.04566751,1,0.168492415,0.168427221,0.276460352,0.239046602,0,0.337740671,0.337742118,0.33774208,0.090218471,0,0,0.073810317,0,0.337741882,0.114211797,0.183146836,0.239046602,0,0.239046602,0,0.239046602,0
Oxyrhopus_melanogenys_RAB936_,0,0,0.117806382,0,0.167241114,0,0.168492415,1,0.406978883,0.166155791,0,0.288149135,0.202664462,0.202944728,0.202900456,0,0,0,0,0,0.202802575,0.068893597,0,0,0.288149135,0,0,0,0
Oxyrhopus_melanogenys_RAB1005_,0,0,0.117760799,0,0.167176404,0,0.168427221,0.406978883,1,0.166091501,0,0.28826001,0.202586046,0.202866203,0.202821949,0,0,0,0,0,0.202724105,0.06886694,0,0,0.28826001,0,0,0,0
Oxyrhopus_melanogenys_RAB938_,0,0,0.288880205,0,0.274902754,0,0.276460352,0.166155791,0.166091501,1,0.23583952,0,0.333131923,0.333134505,0.333134373,0,0,0,0.138371196,0,0.333133968,0.112653813,0.180689712,0.23583952,0,0.23583952,0,0.23583952,0
Oxyrhopus_melanogenys_RAB1004_,0,0,0.167006414,0,0.238127988,0,0.239046602,0,0,0.23583952,1,0,0.288571102,0.288175877,0.28823838,0,0,0,0.125662714,0,0.288376474,0.097075669,0.311809099,0.406978944,0,0.406978944,0,0.406978944,0
Oxyrhopus_melanogenys_RAB955_,0,0,0,0,0,0,0,0.288149135,0.28826001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.406978944,0,0,0,0
Oxyrhopus_melanogenys_RAB1233_,0,0,0.236047947,0,0.335840659,0,0.337740671,0.202664462,0.202586046,0.333131923,0.288571102,0,1,0.406977307,0.406977631,0,0,0,0.089101976,0,0.406978208,0.137623149,0.221090296,0.288571102,0,0.288571102,0,0.288571102,0
Oxyrhopus_melanogenys_RAB1318_,0,0,0.236049978,0,0.335840056,0,0.337742118,0.202944728,0.202866203,0.333134505,0.288175877,0,0.406977307,1,0.406978925,0,0,0,0.088979942,0,0.406978745,0.137624907,0.220787492,0.288175877,0,0.288175877,0,0.288175877,0
Oxyrhopus_melanogenys_RAB1321_,0,0,0.236049852,0,0.335840257,0,0.33774208,0.202900456,0.202821949,0.333134373,0.28823838,0,0.406977631,0.406978925,1,0,0,0,0.088999241,0,0.40697885,0.137624743,0.220835379,0.28823838,0,0.28823838,0,0.28823838,0
Oxyrhopus_petolarius_RAB2433_,0.194108024,0.167774787,0.068858382,0.235711933,0,0.139031923,0.090218471,0,0,0,0,0,0,0,0,1,0.150785907,0.167774787,0.102345984,0,0,0.079959447,0,0,0,0,0.167774787,0,0.167945638
Oxyrhopus_melanogenys_RAB2538_,0.107182873,0.18352534,0.075322748,0.130762649,0,0.116416404,0,0,0,0,0,0,0,0,0,0.150785907,1,0.18352534,0.112080656,0,0,0.13065412,0,0,0,0,0.18352534,0,0
Oxyrhopus_melanogenys_RAB2610_,0.119538489,0.406978944,0.167032914,0.28997437,0,0,0,0,0,0,0,0,0,0,0,0.167774787,0.18352534,1,0.12550202,0,0,0.097119904,0,0,0,0,0.406978944,0,0
Oxyrhopus_melanogenys_RAB2677_,0.205533512,0.12550202,0.199267739,0.089420766,0.143349567,0.191979252,0.073810317,0,0,0.138371196,0.125662714,0,0.089101976,0.088979942,0.088999241,0.102345984,0.112080656,0.12550202,1,0,0.089041881,0.224024015,0.174840748,0.125662714,0,0.125662714,0.12550202,0.125662714,0
Oxyrhopus_petolarius_RAB2868_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oxyrhopus_petolarius_RAB2925_,0,0,0.236049495,0,0.335840586,0,0.337741882,0.202802575,0.202724105,0.333133968,0.288376474,0,0.406978208,0.406978745,0.40697885,0,0,0,0.089041881,0,1,0.137624334,0.220941181,0.288376474,0,0.288376474,0,0.288376474,0
Oxyrhopus_petolarius_RAB3406_,0.138791777,0.097119904,0.119683678,0.069198378,0.113567573,0.183435896,0.114211797,0.068893597,0.06886694,0.112653813,0.097075669,0,0.137623149,0.137624907,0.137624743,0.079959447,0.13065412,0.097119904,0.224024015,0,0.137624334,1,0.074375044,0.097075669,0,0.097075669,0.097119904,0.097075669,0
Oxyrhopus_melanogenys_RAB3409_,0,0,0.2313616,0,0.328822417,0,0.183146836,0,0,0.180689712,0.311809099,0,0.221090296,0.220787492,0.220835379,0,0,0,0.174840748,0,0.220941181,0.074375044,1,0.311809099,0,0.311809099,0,0.311809099,0
Oxyrhopus_melanogenys_RAB3481_,0,0,0.167006414,0,0.238127988,0,0.239046602,0,0,0.23583952,0.406978944,0,0.288571102,0.288175877,0.28823838,0,0,0,0.125662714,0,0.288376474,0.097075669,0.311809099,1,0,0.406978944,0,0.406978944,0
Oxyrhopus_melanogenys_RAB3530_,0,0,0,0,0,0,0,0.288149135,0.28826001,0,0,0.406978944,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Oxyrhopus_melanogenys_RAB3555_,0,0,0.167006414,0,0.238127988,0,0.239046602,0,0,0.23583952,0.406978944,0,0.288571102,0.288175877,0.28823838,0,0,0,0.125662714,0,0.288376474,0.097075669,0.311809099,0.406978944,0,1,0,0.406978944,0
Oxyrhopus_melanogenys_RAB3567_,0.119538489,0.406978944,0.167032914,0.28997437,0,0,0,0,0,0,0,0,0,0,0,0.167774787,0.18352534,0.406978944,0.12550202,0,0,0.097119904,0,0,0,0,1,0,0
Oxyrhopus_melanogenys_RAB3566_,0,0,0.167006414,0,0.238127988,0,0.239046602,0,0,0.23583952,0.406978944,0,0.288571102,0.288175877,0.28823838,0,0,0,0.125662714,0,0.288376474,0.097075669,0.311809099,0.406978944,0,0.406978944,0,1,0
Oxyrhopus_melanogenys_RAB3576_,0.119470733,0,0,0,0,0.086925155,0,0,0,0,0,0,0,0,0,0.167945638,0,0,0,0,0,0,0,0,0,0,0,0,1
